"initial_alias","converted_alias","name","description","namespace"
"GO:0042063","ENSMUSG00000029378","Areg","amphiregulin [Source:MGI Symbol;Acc:MGI:88068]","GO"
"GO:0042063","ENSMUSG00000071176","Arhgef10","Rho guanine nucleotide exchange factor (GEF) 10 [Source:MGI Symbol;Acc:MGI:2444453]","GO"
"GO:0042063","ENSMUSG00000031511","Arhgef7","Rho guanine nucleotide exchange factor (GEF7) [Source:MGI Symbol;Acc:MGI:1860493]","GO"
"GO:0042063","ENSMUSG00000020052","Ascl1","achaete-scute family bHLH transcription factor 1 [Source:MGI Symbol;Acc:MGI:96919]","GO"
"GO:0042063","ENSMUSG00000009248","Ascl2","achaete-scute family bHLH transcription factor 2 [Source:MGI Symbol;Acc:MGI:96920]","GO"
"GO:0042063","ENSMUSG00000020774","Aspa","aspartoacylase [Source:MGI Symbol;Acc:MGI:87914]","GO"
"GO:0042063","ENSMUSG00000038539","Atf5","activating transcription factor 5 [Source:MGI Symbol;Acc:MGI:2141857]","GO"
"GO:0042063","ENSMUSG00000041329","Atp1b2","ATPase, Na+/K+ transporting, beta 2 polypeptide [Source:MGI Symbol;Acc:MGI:88109]","GO"
"GO:0042063","ENSMUSG00000046876","Atxn1","ataxin 1 [Source:MGI Symbol;Acc:MGI:104783]","GO"
"GO:0042063","ENSMUSG00000017929","B4galt5","UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5 [Source:MGI Symbol;Acc:MGI:1927169]","GO"
"GO:0042063","ENSMUSG00000056124","B4galt6","UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 6 [Source:MGI Symbol;Acc:MGI:1928380]","GO"
"GO:0042063","ENSMUSG00000040605","Bace2","beta-site APP-cleaving enzyme 2 [Source:MGI Symbol;Acc:MGI:1860440]","GO"
"GO:0042063","ENSMUSG00000028416","Bag1","BCL2-associated athanogene 1 [Source:MGI Symbol;Acc:MGI:108047]","GO"
"GO:0042063","ENSMUSG00000024381","Bin1","bridging integrator 1 [Source:MGI Symbol;Acc:MGI:108092]","GO"
"GO:0042063","ENSMUSG00000044117","Bmerb1","bMERB domain containing 1 [Source:MGI Symbol;Acc:MGI:1914504]","GO"
"GO:0042063","ENSMUSG00000027358","Bmp2","bone morphogenetic protein 2 [Source:MGI Symbol;Acc:MGI:88177]","GO"
"GO:0042063","ENSMUSG00000021835","Bmp4","bone morphogenetic protein 4 [Source:MGI Symbol;Acc:MGI:88180]","GO"
"GO:0042063","ENSMUSG00000078566","Bnip3","BCL2/adenovirus E1B interacting protein 3 [Source:MGI Symbol;Acc:MGI:109326]","GO"
"GO:0042063","ENSMUSG00000026278","Bok","BCL2-related ovarian killer [Source:MGI Symbol;Acc:MGI:1858494]","GO"
"GO:0042063","ENSMUSG00000036887","C1qa","complement component 1, q subcomponent, alpha polypeptide [Source:MGI Symbol;Acc:MGI:88223]","GO"
"GO:0042063","ENSMUSG00000049130","C5ar1","complement component 5a receptor 1 [Source:MGI Symbol;Acc:MGI:88232]","GO"
"GO:0042063","ENSMUSG00000035352","Ccl12","chemokine (C-C motif) ligand 12 [Source:MGI Symbol;Acc:MGI:108224]","GO"
"GO:0042063","ENSMUSG00000035385","Ccl2","chemokine (C-C motif) ligand 2 [Source:MGI Symbol;Acc:MGI:98259]","GO"
"GO:0042063","ENSMUSG00000000982","Ccl3","chemokine (C-C motif) ligand 3 [Source:MGI Symbol;Acc:MGI:98260]","GO"
"GO:0042063","ENSMUSG00000049103","Ccr2","chemokine (C-C motif) receptor 2 [Source:MGI Symbol;Acc:MGI:106185]","GO"
"GO:0042063","ENSMUSG00000030342","Cd9","CD9 antigen [Source:MGI Symbol;Acc:MGI:88348]","GO"
"GO:0042063","ENSMUSG00000024304","Cdh2","cadherin 2 [Source:MGI Symbol;Acc:MGI:88355]","GO"
"GO:0042063","ENSMUSG00000028969","Cdk5","cyclin-dependent kinase 5 [Source:MGI Symbol;Acc:MGI:101765]","GO"
"GO:0042063","ENSMUSG00000048895","Cdk5r1","cyclin-dependent kinase 5, regulatory subunit 1 (p35) [Source:MGI Symbol;Acc:MGI:101764]","GO"
"GO:0042063","ENSMUSG00000090071","Cdk5r2","cyclin-dependent kinase 5, regulatory subunit 2 (p39) [Source:MGI Symbol;Acc:MGI:1330828]","GO"
"GO:0042063","ENSMUSG00000040274","Cdk6","cyclin-dependent kinase 6 [Source:MGI Symbol;Acc:MGI:1277162]","GO"
"GO:0042063","ENSMUSG00000073802","Cdkn2b","cyclin dependent kinase inhibitor 2B [Source:MGI Symbol;Acc:MGI:104737]","GO"
"GO:0042063","ENSMUSG00000028551","Cdkn2c","cyclin dependent kinase inhibitor 2C [Source:MGI Symbol;Acc:MGI:105388]","GO"
"GO:0042063","ENSMUSG00000015714","Cers2","ceramide synthase 2 [Source:MGI Symbol;Acc:MGI:1924143]","GO"
"GO:0042063","ENSMUSG00000040663","Clcf1","cardiotrophin-like cytokine factor 1 [Source:MGI Symbol;Acc:MGI:1930088]","GO"
"GO:0042063","ENSMUSG00000097629","Clcf1","cardiotrophin-like cytokine factor 1 [Source:MGI Symbol;Acc:MGI:1930088]","GO"
"GO:0042063","ENSMUSG00000022037","Clu","clusterin [Source:MGI Symbol;Acc:MGI:88423]","GO"
"GO:0042063","ENSMUSG00000006782","Cnp","2',3'-cyclic nucleotide 3' phosphodiesterase [Source:MGI Symbol;Acc:MGI:88437]","GO"
"GO:0042063","ENSMUSG00000079415","Cntf","ciliary neurotrophic factor [Source:MGI Symbol;Acc:MGI:88439]","GO"
"GO:0042063","ENSMUSG00000053024","Cntn2","contactin 2 [Source:MGI Symbol;Acc:MGI:104518]","GO"
"GO:0042063","ENSMUSG00000017167","Cntnap1","contactin associated protein-like 1 [Source:MGI Symbol;Acc:MGI:1858201]","GO"
"GO:0042063","ENSMUSG00000025958","Creb1","cAMP responsive element binding protein 1 [Source:MGI Symbol;Acc:MGI:88494]","GO"
"GO:0042063","ENSMUSG00000006134","Crkl","v-crk avian sarcoma virus CT10 oncogene homolog-like [Source:MGI Symbol;Acc:MGI:104686]","GO"
"GO:0042063","ENSMUSG00000014599","Csf1","colony stimulating factor 1 (macrophage) [Source:MGI Symbol;Acc:MGI:1339753]","GO"
"GO:0042063","ENSMUSG00000024621","Csf1r","colony stimulating factor 1 receptor [Source:MGI Symbol;Acc:MGI:1339758]","GO"
"GO:0042063","ENSMUSG00000032312","Csk","c-src tyrosine kinase [Source:MGI Symbol;Acc:MGI:88537]","GO"
"GO:0042063","ENSMUSG00000032911","Cspg4","chondroitin sulfate proteoglycan 4 [Source:MGI Symbol;Acc:MGI:2153093]","GO"
"GO:0042063","ENSMUSG00000032482","Cspg5","chondroitin sulfate proteoglycan 5 [Source:MGI Symbol;Acc:MGI:1352747]","GO"
"GO:0042063","ENSMUSG00000006932","Ctnnb1","catenin (cadherin associated protein), beta 1 [Source:MGI Symbol;Acc:MGI:88276]","GO"
"GO:0042063","ENSMUSG00000031778","Cx3cl1","chemokine (C-X3-C motif) ligand 1 [Source:MGI Symbol;Acc:MGI:1097153]","GO"
"GO:0042063","ENSMUSG00000052336","Cx3cr1","chemokine (C-X3-C motif) receptor 1 [Source:MGI Symbol;Acc:MGI:1333815]","GO"
"GO:0042063","ENSMUSG00000040260","Daam2","dishevelled associated activator of morphogenesis 2 [Source:MGI Symbol;Acc:MGI:1923691]","GO"
"GO:0042063","ENSMUSG00000028519","Dab1","disabled 1 [Source:MGI Symbol;Acc:MGI:108554]","GO"
"GO:0042063","ENSMUSG00000026883","Dab2ip","disabled 2 interacting protein [Source:MGI Symbol;Acc:MGI:1916851]","GO"
"GO:0042063","ENSMUSG00000039952","Dag1","dystroglycan 1 [Source:MGI Symbol;Acc:MGI:101864]","GO"
"GO:0042063","ENSMUSG00000026385","Dbi","diazepam binding inhibitor [Source:MGI Symbol;Acc:MGI:94865]","GO"
"GO:0042063","ENSMUSG00000031285","Dcx","doublecortin [Source:MGI Symbol;Acc:MGI:1277171]","GO"
"GO:0042063","ENSMUSG00000043051","Disc1","disrupted in schizophrenia 1 [Source:MGI Symbol;Acc:MGI:2447658]","GO"
"GO:0042063","ENSMUSG00000014773","Dll1","delta like canonical Notch ligand 1 [Source:MGI Symbol;Acc:MGI:104659]","GO"
"GO:0042063","ENSMUSG00000003436","Dll3","delta like canonical Notch ligand 3 [Source:MGI Symbol;Acc:MGI:1096877]","GO"
"GO:0042063","ENSMUSG00000041911","Dlx1","distal-less homeobox 1 [Source:MGI Symbol;Acc:MGI:94901]","GO"
"GO:0042063","ENSMUSG00000023391","Dlx2","distal-less homeobox 2 [Source:MGI Symbol;Acc:MGI:94902]","GO"
"GO:0042063","ENSMUSG00000045103","Dmd","dystrophin, muscular dystrophy [Source:MGI Symbol;Acc:MGI:94909]","GO"
"GO:0042063","ENSMUSG00000036766","Dner","delta/notch-like EGF repeat containing [Source:MGI Symbol;Acc:MGI:2152889]","GO"
"GO:0042063","ENSMUSG00000021478","Drd1","dopamine receptor D1 [Source:MGI Symbol;Acc:MGI:99578]","GO"
"GO:0042063","ENSMUSG00000022705","Drd3","dopamine receptor D3 [Source:MGI Symbol;Acc:MGI:94925]","GO"
"GO:0042063","ENSMUSG00000029603","Dtx1","deltex 1, E3 ubiquitin ligase [Source:MGI Symbol;Acc:MGI:1352744]","GO"
"GO:0042063","ENSMUSG00000039384","Dusp10","dual specificity phosphatase 10 [Source:MGI Symbol;Acc:MGI:1927070]","GO"
"GO:0042063","ENSMUSG00000042662","Dusp15","dual specificity phosphatase-like 15 [Source:MGI Symbol;Acc:MGI:1934928]","GO"
"GO:0042063","ENSMUSG00000027490","E2f1","E2F transcription factor 1 [Source:MGI Symbol;Acc:MGI:101941]","GO"
"GO:0042063","ENSMUSG00000030619","Eed","embryonic ectoderm development [Source:MGI Symbol;Acc:MGI:95286]","GO"
"GO:0042063","ENSMUSG00000034994","Eef2","eukaryotic translation elongation factor 2 [Source:MGI Symbol;Acc:MGI:95288]","GO"
"GO:0042063","ENSMUSG00000020467","Efemp1","epidermal growth factor-containing fibulin-like extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:1339998]","GO"
"GO:0042063","ENSMUSG00000020122","Egfr","epidermal growth factor receptor [Source:MGI Symbol;Acc:MGI:95294]","GO"
"GO:0042063","ENSMUSG00000037868","Egr2","early growth response 2 [Source:MGI Symbol;Acc:MGI:95296]","GO"
"GO:0042063","ENSMUSG00000116458","Egr2","early growth response 2 [Source:MGI Symbol;Acc:MGI:95296]","GO"
"GO:0042063","ENSMUSG00000029388","Eif2b1","eukaryotic translation initiation factor 2B, subunit 1 (alpha) [Source:MGI Symbol;Acc:MGI:2384802]","GO"
"GO:0042063","ENSMUSG00000004788","Eif2b2","eukaryotic translation initiation factor 2B, subunit 2 beta [Source:MGI Symbol;Acc:MGI:2145118]","GO"
"GO:0042063","ENSMUSG00000028683","Eif2b3","eukaryotic translation initiation factor 2B, subunit 3 [Source:MGI Symbol;Acc:MGI:1313286]","GO"
"GO:0042063","ENSMUSG00000029145","Eif2b4","eukaryotic translation initiation factor 2B, subunit 4 delta [Source:MGI Symbol;Acc:MGI:95300]","GO"
"GO:0042063","ENSMUSG00000003235","Eif2b5","eukaryotic translation initiation factor 2B, subunit 5 epsilon [Source:MGI Symbol;Acc:MGI:2446176]","GO"
"GO:0042063","ENSMUSG00000033726","Emx1","empty spiracles homeobox 1 [Source:MGI Symbol;Acc:MGI:95387]","GO"
"GO:0042063","ENSMUSG00000022425","Enpp2","ectonucleotide pyrophosphatase/phosphodiesterase 2 [Source:MGI Symbol;Acc:MGI:1321390]","GO"
"GO:0042063","ENSMUSG00000026235","Epha4","Eph receptor A4 [Source:MGI Symbol;Acc:MGI:98277]","GO"
"GO:0042063","ENSMUSG00000055493","Epm2a","epilepsy, progressive myoclonic epilepsy, type 2 gene alpha [Source:MGI Symbol;Acc:MGI:1341085]","GO"
"GO:0042063","ENSMUSG00000062312","Erbb2","erb-b2 receptor tyrosine kinase 2 [Source:MGI Symbol;Acc:MGI:95410]","GO"
"GO:0042063","ENSMUSG00000018166","Erbb3","erb-b2 receptor tyrosine kinase 3 [Source:MGI Symbol;Acc:MGI:95411]","GO"
"GO:0042063","ENSMUSG00000030400","Ercc2","excision repair cross-complementing rodent repair deficiency, complementation group 2 [Source:MGI Symbol;Acc:MGI:95413]","GO"
"GO:0042063","ENSMUSG00000013089","Etv5","ets variant 5 [Source:MGI Symbol;Acc:MGI:1096867]","GO"
"GO:0042063","ENSMUSG00000029763","Exoc4","exocyst complex component 4 [Source:MGI Symbol;Acc:MGI:1096376]","GO"
"GO:0042063","ENSMUSG00000029687","Ezh2","enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:MGI Symbol;Acc:MGI:107940]","GO"
"GO:0042063","ENSMUSG00000027249","F2","coagulation factor II [Source:MGI Symbol;Acc:MGI:88380]","GO"
"GO:0042063","ENSMUSG00000033579","Fa2h","fatty acid 2-hydroxylase [Source:MGI Symbol;Acc:MGI:2443327]","GO"
"GO:0042063","ENSMUSG00000024778","Fas","Fas (TNF receptor superfamily member 6) [Source:MGI Symbol;Acc:MGI:95484]","GO"
"GO:0042063","ENSMUSG00000021732","Fgf10","fibroblast growth factor 10 [Source:MGI Symbol;Acc:MGI:1099809]","GO"
"GO:0042063","ENSMUSG00000037225","Fgf2","fibroblast growth factor 2 [Source:MGI Symbol;Acc:MGI:95516]","GO"
"GO:0042063","ENSMUSG00000029337","Fgf5","fibroblast growth factor 5 [Source:MGI Symbol;Acc:MGI:95519]","GO"
"GO:0042063","ENSMUSG00000026193","Fn1","fibronectin 1 [Source:MGI Symbol;Acc:MGI:95566]","GO"
"GO:0042063","ENSMUSG00000020950","Foxg1","forkhead box G1 [Source:MGI Symbol;Acc:MGI:1347464]","GO"
"GO:0042063","ENSMUSG00000052270","Fpr2","formyl peptide receptor 2 [Source:MGI Symbol;Acc:MGI:1278319]","GO"
"GO:0042063","ENSMUSG00000028034","Fubp1","far upstream element (FUSE) binding protein 1 [Source:MGI Symbol;Acc:MGI:1196294]","GO"
"GO:0042063","ENSMUSG00000047261","Gap43","growth associated protein 43 [Source:MGI Symbol;Acc:MGI:95639]","GO"
"GO:0042063","ENSMUSG00000023333","Gcm1","glial cells missing homolog 1 [Source:MGI Symbol;Acc:MGI:108045]","GO"
"GO:0042063","ENSMUSG00000020932","Gfap","glial fibrillary acidic protein [Source:MGI Symbol;Acc:MGI:95697]","GO"
"GO:0042063","ENSMUSG00000043448","Gjc2","gap junction protein, gamma 2 [Source:MGI Symbol;Acc:MGI:2153060]","GO"
"GO:0042063","ENSMUSG00000021318","Gli3","GLI-Kruppel family member GLI3 [Source:MGI Symbol;Acc:MGI:95729]","GO"
"GO:0042063","ENSMUSG00000034220","Gpc1","glypican 1 [Source:MGI Symbol;Acc:MGI:1194891]","GO"
"GO:0042063","ENSMUSG00000047875","Gpr157","G protein-coupled receptor 157 [Source:MGI Symbol;Acc:MGI:2442046]","GO"
"GO:0042063","ENSMUSG00000052229","Gpr17","G protein-coupled receptor 17 [Source:MGI Symbol;Acc:MGI:3584514]","GO"
"GO:0042063","ENSMUSG00000051212","Gpr183","G protein-coupled receptor 183 [Source:MGI Symbol;Acc:MGI:2442034]","GO"
"GO:0042063","ENSMUSG00000026424","Gpr37l1","G protein-coupled receptor 37-like 1 [Source:MGI Symbol;Acc:MGI:1928503]","GO"
"GO:0042063","ENSMUSG00000026959","Grin1","glutamate receptor, ionotropic, NMDA1 (zeta 1) [Source:MGI Symbol;Acc:MGI:95819]","GO"
"GO:0042063","ENSMUSG00000024858","Grk2","G protein-coupled receptor kinase 2 [Source:MGI Symbol;Acc:MGI:87940]","GO"
"GO:0042063","ENSMUSG00000026879","Gsn","gelsolin [Source:MGI Symbol;Acc:MGI:95851]","GO"
"GO:0042063","ENSMUSG00000060803","Gstp1","glutathione S-transferase, pi 1 [Source:MGI Symbol;Acc:MGI:95865]","GO"
"GO:0042063","ENSMUSG00000097830","Gstp1","glutathione S-transferase, pi 1 [Source:MGI Symbol;Acc:MGI:95865]","GO"
"GO:0042063","ENSMUSG00000035946","Gsx2","GS homeobox 2 [Source:MGI Symbol;Acc:MGI:95843]","GO"
"GO:0042063","ENSMUSG00000028800","Hdac1","histone deacetylase 1 [Source:MGI Symbol;Acc:MGI:108086]","GO"
"GO:0042063","ENSMUSG00000034245","Hdac11","histone deacetylase 11 [Source:MGI Symbol;Acc:MGI:2385252]","GO"
"GO:0042063","ENSMUSG00000019777","Hdac2","histone deacetylase 2 [Source:MGI Symbol;Acc:MGI:1097691]","GO"
"GO:0042063","ENSMUSG00000022528","Hes1","hes family bHLH transcription factor 1 [Source:MGI Symbol;Acc:MGI:104853]","GO"
"GO:0042063","ENSMUSG00000048001","Hes5","hes family bHLH transcription factor 5 [Source:MGI Symbol;Acc:MGI:104876]","GO"
"GO:0042063","ENSMUSG00000021665","Hexb","hexosaminidase B [Source:MGI Symbol;Acc:MGI:96074]","GO"
"GO:0042063","ENSMUSG00000056758","Hmga2","high mobility group AT-hook 2 [Source:MGI Symbol;Acc:MGI:101761]","GO"
"GO:0042063","ENSMUSG00000020644","Id2","inhibitor of DNA binding 2 [Source:MGI Symbol;Acc:MGI:96397]","GO"
"GO:0042063","ENSMUSG00000021379","Id4","inhibitor of DNA binding 4 [Source:MGI Symbol;Acc:MGI:99414]","GO"
"GO:0042063","ENSMUSG00000030541","Idh2","isocitrate dehydrogenase 2 (NADP+), mitochondrial [Source:MGI Symbol;Acc:MGI:96414]","GO"
"GO:0042063","ENSMUSG00000055170","Ifng","interferon gamma [Source:MGI Symbol;Acc:MGI:107656]","GO"
"GO:0042063","ENSMUSG00000020009","Ifngr1","interferon gamma receptor 1 [Source:MGI Symbol;Acc:MGI:107655]","GO"
"GO:0042063","ENSMUSG00000020053","Igf1","insulin-like growth factor 1 [Source:MGI Symbol;Acc:MGI:96432]","GO"
"GO:0042063","ENSMUSG00000027398","Il1b","interleukin 1 beta [Source:MGI Symbol;Acc:MGI:96543]","GO"
"GO:0042063","ENSMUSG00000024810","Il33","interleukin 33 [Source:MGI Symbol;Acc:MGI:1924375]","GO"
"GO:0042063","ENSMUSG00000031750","Il34","interleukin 34 [Source:MGI Symbol;Acc:MGI:1923777]","GO"
"GO:0042063","ENSMUSG00000025746","Il6","interleukin 6 [Source:MGI Symbol;Acc:MGI:96559]","GO"
"GO:0042063","ENSMUSG00000021756","Il6st","interleukin 6 signal transducer [Source:MGI Symbol;Acc:MGI:96560]","GO"
"GO:0042063","ENSMUSG00000030890","Ilk","integrin linked kinase [Source:MGI Symbol;Acc:MGI:1195267]","GO"
"GO:0042063","ENSMUSG00000020758","Itgb4","integrin beta 4 [Source:MGI Symbol;Acc:MGI:96613]","GO"
"GO:0042063","ENSMUSG00000044708","Kcnj10","potassium inwardly-rectifying channel, subfamily J, member 10 [Source:MGI Symbol;Acc:MGI:1194504]","GO"
"GO:0042063","ENSMUSG00000033326","Kdm4a","lysine (K)-specific demethylase 4A [Source:MGI Symbol;Acc:MGI:2446210]","GO"
"GO:0042063","ENSMUSG00000030087","Klf15","Kruppel-like factor 15 [Source:MGI Symbol;Acc:MGI:1929988]","GO"
"GO:0042063","ENSMUSG00000030265","Kras","Kirsten rat sarcoma viral oncogene homolog [Source:MGI Symbol;Acc:MGI:96680]","GO"
"GO:0042063","ENSMUSG00000019899","Lama2","laminin, alpha 2 [Source:MGI Symbol;Acc:MGI:99912]","GO"
"GO:0042063","ENSMUSG00000002900","Lamb1","laminin B1 [Source:MGI Symbol;Acc:MGI:96743]","GO"
"GO:0042063","ENSMUSG00000052911","Lamb2","laminin, beta 2 [Source:MGI Symbol;Acc:MGI:99916]","GO"
"GO:0042063","ENSMUSG00000026840","Lamc3","laminin gamma 3 [Source:MGI Symbol;Acc:MGI:1344394]","GO"
"GO:0042063","ENSMUSG00000032193","Ldlr","low density lipoprotein receptor [Source:MGI Symbol;Acc:MGI:96765]","GO"
"GO:0042063","ENSMUSG00000027985","Lef1","lymphoid enhancer binding factor 1 [Source:MGI Symbol;Acc:MGI:96770]","GO"
"GO:0042063","ENSMUSG00000057722","Lepr","leptin receptor [Source:MGI Symbol;Acc:MGI:104993]","GO"
"GO:0042063","ENSMUSG00000036560","Lgi4","leucine-rich repeat LGI family, member 4 [Source:MGI Symbol;Acc:MGI:2180197]","GO"
"GO:0042063","ENSMUSG00000034394","Lif","leukemia inhibitory factor [Source:MGI Symbol;Acc:MGI:96787]","GO"
"GO:0042063","ENSMUSG00000050966","Lin28a","lin-28 homolog A (C. elegans) [Source:MGI Symbol;Acc:MGI:1890546]","GO"
"GO:0042063","ENSMUSG00000049556","Lingo1","leucine rich repeat and Ig domain containing 1 [Source:MGI Symbol;Acc:MGI:1915522]","GO"
"GO:0042063","ENSMUSG00000038668","Lpar1","lysophosphatidic acid receptor 1 [Source:MGI Symbol;Acc:MGI:108429]","GO"
"GO:0042063","ENSMUSG00000040249","Lrp1","low density lipoprotein receptor-related protein 1 [Source:MGI Symbol;Acc:MGI:96828]","GO"
"GO:0042063","ENSMUSG00000027070","Lrp2","low density lipoprotein receptor-related protein 2 [Source:MGI Symbol;Acc:MGI:95794]","GO"
"GO:0042063","ENSMUSG00000028613","Lrp8","low density lipoprotein receptor-related protein 8, apolipoprotein e receptor [Source:MGI Symbol;Acc:MGI:1340044]","GO"
"GO:0042063","ENSMUSG00000024402","Lta","lymphotoxin A [Source:MGI Symbol;Acc:MGI:104797]","GO"
"GO:0042063","ENSMUSG00000042228","Lyn","LYN proto-oncogene, Src family tyrosine kinase [Source:MGI Symbol;Acc:MGI:96892]","GO"
"GO:0042063","ENSMUSG00000036634","Mag","myelin-associated glycoprotein [Source:MGI Symbol;Acc:MGI:96912]","GO"
"GO:0042063","ENSMUSG00000004936","Map2k1","mitogen-activated protein kinase kinase 1 [Source:MGI Symbol;Acc:MGI:1346866]","GO"
"GO:0042063","ENSMUSG00000063358","Mapk1","mitogen-activated protein kinase 1 [Source:MGI Symbol;Acc:MGI:1346858]","GO"
"GO:0042063","ENSMUSG00000063065","Mapk3","mitogen-activated protein kinase 3 [Source:MGI Symbol;Acc:MGI:1346859]","GO"
"GO:0042063","ENSMUSG00000022324","Matn2","matrilin 2 [Source:MGI Symbol;Acc:MGI:109613]","GO"
"GO:0042063","ENSMUSG00000035596","Mboat7","membrane bound O-acyltransferase domain containing 7 [Source:MGI Symbol;Acc:MGI:1924832]","GO"
"GO:0042063","ENSMUSG00000027239","Mdk","midkine [Source:MGI Symbol;Acc:MGI:96949]","GO"
"GO:0042063","ENSMUSG00000031393","Mecp2","methyl CpG binding protein 2 [Source:MGI Symbol;Acc:MGI:99918]","GO"
"GO:0042063","ENSMUSG00000079487","Med12","mediator complex subunit 12 [Source:MGI Symbol;Acc:MGI:1926212]","GO"
"GO:0042063","ENSMUSG00000002274","Metrn","meteorin, glial cell differentiation regulator [Source:MGI Symbol;Acc:MGI:1917333]","GO"
"GO:0042063","ENSMUSG00000028114","Mettl14","methyltransferase like 14 [Source:MGI Symbol;Acc:MGI:2442926]","GO"
"GO:0042063","ENSMUSG00000105196","Mir142","microRNA 142 [Source:MGI Symbol;Acc:MGI:2676827]","GO"
"GO:0042063","ENSMUSG00000065397","Mir155","microRNA 155 [Source:MGI Symbol;Acc:MGI:2676840]","GO"
"GO:0042063","ENSMUSG00000065458","Mir181b-1","microRNA 181b-1 [Source:MGI Symbol;Acc:MGI:3618735]","GO"
"GO:0042063","ENSMUSG00000065578","Mir181b-2","microRNA 181b-2 [Source:MGI Symbol;Acc:MGI:3618736]","GO"
"GO:0042063","ENSMUSG00000065483","Mir181c","microRNA 181c [Source:MGI Symbol;Acc:MGI:3618737]","GO"
"GO:0042063","ENSMUSG00000065513","Mir26a-1","microRNA 26a-1 [Source:MGI Symbol;Acc:MGI:2676900]","GO"
"GO:0042063","ENSMUSG00000065430","Mir26a-2","microRNA 26a-2 [Source:MGI Symbol;Acc:MGI:3619045]","GO"
"GO:0042063","ENSMUSG00000000957","Mmp14","matrix metallopeptidase 14 (membrane-inserted) [Source:MGI Symbol;Acc:MGI:101900]","GO"
"GO:0042063","ENSMUSG00000027612","Mmp24","matrix metallopeptidase 24 [Source:MGI Symbol;Acc:MGI:1341867]","GO"
"GO:0042063","ENSMUSG00000021112","Mpp5","membrane protein, palmitoylated 5 (MAGUK p55 subfamily member 5) [Source:MGI Symbol;Acc:MGI:1927339]","GO"
"GO:0042063","ENSMUSG00000031760","Mt3","metallothionein 3 [Source:MGI Symbol;Acc:MGI:97173]","GO"
"GO:0042063","ENSMUSG00000028991","Mtor","mechanistic target of rapamycin kinase [Source:MGI Symbol;Acc:MGI:1928394]","GO"
"GO:0042063","ENSMUSG00000029070","Mxra8","matrix-remodelling associated 8 [Source:MGI Symbol;Acc:MGI:1922011]","GO"
"GO:0042063","ENSMUSG00000019982","Myb","myeloblastosis oncogene [Source:MGI Symbol;Acc:MGI:97249]","GO"
"GO:0042063","ENSMUSG00000022346","Myc","myelocytomatosis oncogene [Source:MGI Symbol;Acc:MGI:97250]","GO"
"GO:0042063","ENSMUSG00000037169","Mycn","v-myc avian myelocytomatosis viral related oncogene, neuroblastoma derived [Source:MGI Symbol;Acc:MGI:97357]","GO"
"GO:0042063","ENSMUSG00000026697","Myoc","myocilin [Source:MGI Symbol;Acc:MGI:1202864]","GO"
"GO:0042063","ENSMUSG00000036098","Myrf","myelin regulatory factor [Source:MGI Symbol;Acc:MGI:2684944]","GO"
